secteur;2017;2024;variation;tendance
Eau, assainissement, déchets;18.7;28.0;9.3;↑ Hausse
Industrie pharmaceutique;46.5;54.8;8.3;↑ Hausse
Industrie chimique;33.3;40.7;7.4;↑ Hausse
Électricité, gaz, vapeur;26.7;32.4;5.7;↑ Hausse
Industries extractives;10.0;14.4;4.4;↑ Hausse
Métallurgie, produits métalliques;15.7;17.2;1.5;↑ Hausse
Bois, papier, imprimerie;28.6;29.8;1.2;↑ Hausse
Cokéfaction et raffinage;20.6;21.7;1.1;↑ Hausse
Autres industries manufacturières;28.6;29.6;1.0;→ Stable
Informatique, électronique, optique;34.2;35.1;0.9;→ Stable
Alimentation, boissons, tabac;41.0;41.7;0.7;→ Stable
Matériels de transport;19.9;20.3;0.4;→ Stable
Machines et équipements;21.8;20.9;-0.9;→ Stable
Caoutchouc, plastiques, minéraux;26.9;24.1;-2.8;↓ Baisse
Équipements électriques;28.5;24.1;-4.4;↓ Baisse
Textile, habillement, cuir;69.1;63.1;-6.0;↓ Baisse
