annee;secteur;pop_femmes;pop_total;part_femmes;famille
2017;Activités financières et assurance;511.6;864.4;59.2;Autres secteurs
2017;Activités informatiques;108.9;430.7;25.3;Autres secteurs
2017;Activités spécialisées et soutien;1232.8;2649.5;46.5;Autres secteurs
2017;Admin. publique, enseignement, santé;5742.1;8327.7;69.0;Autres secteurs
2017;Agriculture, sylviculture et pêche;205.7;697.9;29.5;Autres secteurs
2017;Alimentation, boissons, tabac;273.1;666.8;41.0;Industrie
2017;Autres industries manufacturières;91.9;321.3;28.6;Industrie
2017;Bois, papier, imprimerie;59.5;207.9;28.6;Industrie
2017;Caoutchouc, plastiques, minéraux;86.6;322.5;26.9;Industrie
2017;Cokéfaction et raffinage;2.7;13.1;20.6;Industrie
2017;Commerce, transports, hébergement;2449.9;5933.0;41.3;Autres secteurs
2017;Construction;194.4;1740.3;11.2;Autres secteurs
2017;Eau, assainissement, déchets;40.2;215.1;18.7;Industrie
2017;Hébergement médico-social, action sociale;1711.6;2046.4;83.6;Autres secteurs
2017;Industrie (total);1079.4;3699.1;29.2;Autres secteurs
2017;Industrie chimique;61.1;183.4;33.3;Industrie
2017;Industrie pharmaceutique;42.9;92.3;46.5;Industrie
2017;Industries extractives;2.1;21.0;10.0;Industrie
2017;Information et communication;243.0;790.8;30.7;Autres secteurs
2017;Informatique, électronique, optique;53.7;157.1;34.2;Industrie
2017;Machines et équipements;45.3;208.0;21.8;Industrie
2017;Matériels de transport;88.3;444.5;19.9;Industrie
2017;Métallurgie, produits métalliques;68.1;433.4;15.7;Industrie
2017;Santé humaine;1435.6;1915.7;74.9;Autres secteurs
2017;Textile, habillement, cuir;83.7;121.2;69.1;Industrie
2017;Transports et entreposage;378.8;1452.3;26.1;Autres secteurs
2017;Électricité, gaz, vapeur;46.0;172.0;26.7;Industrie
2017;Équipements électriques;34.1;119.6;28.5;Industrie
2018;Activités financières et assurance;515.9;889.0;58.0;Autres secteurs
2018;Activités informatiques;113.6;453.6;25.0;Autres secteurs
2018;Activités spécialisées et soutien;1273.9;2713.4;46.9;Autres secteurs
2018;Admin. publique, enseignement, santé;5759.8;8361.3;68.9;Autres secteurs
2018;Agriculture, sylviculture et pêche;181.3;670.4;27.0;Autres secteurs
2018;Alimentation, boissons, tabac;276.8;674.2;41.1;Industrie
2018;Autres industries manufacturières;87.9;323.0;27.2;Industrie
2018;Bois, papier, imprimerie;52.5;194.9;26.9;Industrie
2018;Caoutchouc, plastiques, minéraux;86.1;296.5;29.0;Industrie
2018;Cokéfaction et raffinage;2.7;9.0;30.0;Industrie
2018;Commerce, transports, hébergement;2484.3;5934.3;41.9;Autres secteurs
2018;Construction;207.4;1807.6;11.5;Autres secteurs
2018;Eau, assainissement, déchets;45.3;219.4;20.6;Industrie
2018;Hébergement médico-social, action sociale;1690.6;2020.0;83.7;Autres secteurs
2018;Industrie (total);1046.4;3616.4;28.9;Autres secteurs
2018;Industrie chimique;60.0;184.5;32.5;Industrie
2018;Industrie pharmaceutique;44.7;89.6;49.9;Industrie
2018;Industries extractives;2.8;20.0;14.0;Industrie
2018;Information et communication;253.7;826.9;30.7;Autres secteurs
2018;Informatique, électronique, optique;51.9;151.5;34.3;Industrie
2018;Machines et équipements;32.8;211.2;15.5;Industrie
2018;Matériels de transport;74.9;401.3;18.7;Industrie
2018;Métallurgie, produits métalliques;70.6;415.6;17.0;Industrie
2018;Santé humaine;1441.7;1940.0;74.3;Autres secteurs
2018;Textile, habillement, cuir;76.2;110.6;68.9;Industrie
2018;Transports et entreposage;354.8;1431.9;24.8;Autres secteurs
2018;Électricité, gaz, vapeur;55.3;203.4;27.2;Industrie
2018;Équipements électriques;26.0;111.8;23.3;Industrie
2019;Activités financières et assurance;518.7;916.1;56.6;Autres secteurs
2019;Activités informatiques;128.4;501.5;25.6;Autres secteurs
2019;Activités spécialisées et soutien;1284.8;2687.0;47.8;Autres secteurs
2019;Admin. publique, enseignement, santé;5832.9;8472.7;68.8;Autres secteurs
2019;Agriculture, sylviculture et pêche;195.4;678.3;28.8;Autres secteurs
2019;Alimentation, boissons, tabac;296.0;679.7;43.5;Industrie
2019;Autres industries manufacturières;81.8;336.4;24.3;Industrie
2019;Bois, papier, imprimerie;48.2;186.8;25.8;Industrie
2019;Caoutchouc, plastiques, minéraux;76.7;311.2;24.6;Industrie
2019;Cokéfaction et raffinage;0.9;6.7;13.4;Industrie
2019;Commerce, transports, hébergement;2448.0;5830.9;42.0;Autres secteurs
2019;Construction;190.8;1823.5;10.5;Autres secteurs
2019;Eau, assainissement, déchets;49.4;209.1;23.6;Industrie
2019;Hébergement médico-social, action sociale;1622.2;1937.3;83.7;Autres secteurs
2019;Industrie (total);1057.9;3645.6;29.0;Autres secteurs
2019;Industrie chimique;57.6;163.2;35.3;Industrie
2019;Industrie pharmaceutique;43.7;89.1;49.0;Industrie
2019;Industries extractives;2.9;24.1;12.0;Industrie
2019;Information et communication;272.7;874.2;31.2;Autres secteurs
2019;Informatique, électronique, optique;50.0;154.0;32.5;Industrie
2019;Machines et équipements;33.4;213.5;15.6;Industrie
2019;Matériels de transport;82.9;409.4;20.2;Industrie
2019;Métallurgie, produits métalliques;70.7;418.8;16.9;Industrie
2019;Santé humaine;1508.5;2029.2;74.3;Autres secteurs
2019;Textile, habillement, cuir;78.5;121.1;64.8;Industrie
2019;Transports et entreposage;362.3;1411.3;25.7;Autres secteurs
2019;Électricité, gaz, vapeur;54.2;217.9;24.9;Industrie
2019;Équipements électriques;31.0;104.6;29.6;Industrie
2020;Activités financières et assurance;536.7;961.3;55.8;Autres secteurs
2020;Activités informatiques;142.2;541.4;26.3;Autres secteurs
2020;Activités spécialisées et soutien;1287.5;2696.5;47.7;Autres secteurs
2020;Admin. publique, enseignement, santé;5879.5;8551.7;68.8;Autres secteurs
2020;Agriculture, sylviculture et pêche;186.0;625.7;29.7;Autres secteurs
2020;Alimentation, boissons, tabac;258.3;642.9;40.2;Industrie
2020;Autres industries manufacturières;79.9;342.1;23.4;Industrie
2020;Bois, papier, imprimerie;47.8;189.7;25.2;Industrie
2020;Caoutchouc, plastiques, minéraux;70.6;279.4;25.3;Industrie
2020;Cokéfaction et raffinage;0.5;5.3;9.4;Industrie
2020;Commerce, transports, hébergement;2434.4;5775.1;42.2;Autres secteurs
2020;Construction;200.0;1797.4;11.1;Autres secteurs
2020;Eau, assainissement, déchets;45.6;199.5;22.9;Industrie
2020;Hébergement médico-social, action sociale;1571.8;1899.8;82.7;Autres secteurs
2020;Industrie (total);1001.9;3517.8;28.5;Autres secteurs
2020;Industrie chimique;55.6;161.2;34.5;Industrie
2020;Industrie pharmaceutique;42.8;91.6;46.7;Industrie
2020;Industries extractives;2.5;21.4;11.7;Industrie
2020;Information et communication;290.4;934.4;31.1;Autres secteurs
2020;Informatique, électronique, optique;51.0;155.3;32.8;Industrie
2020;Machines et équipements;36.4;192.3;18.9;Industrie
2020;Matériels de transport;80.0;382.6;20.9;Industrie
2020;Métallurgie, produits métalliques;57.5;408.8;14.1;Industrie
2020;Santé humaine;1511.3;2022.1;74.7;Autres secteurs
2020;Textile, habillement, cuir;90.0;136.9;65.7;Industrie
2020;Transports et entreposage;356.9;1385.0;25.8;Autres secteurs
2020;Électricité, gaz, vapeur;48.4;198.2;24.4;Industrie
2020;Équipements électriques;35.1;110.7;31.7;Industrie
2021;Activités financières et assurance;573.3;1007.2;56.9;Autres secteurs
2021;Activités informatiques;159.0;572.6;27.8;Autres secteurs
