annee;secteur;pop_femmes;pop_total;part_femmes
2017;Activités de services administratifs;512.6;1086.8;47.2
2017;Activités des ménages employeurs;256.2;288.8;88.7
2017;Activités extra-territoriales;8.8;19.0;46.3
2017;Activités financières et assurance;511.6;864.4;59.2
2017;Activités immobilières;187.8;393.9;47.7
2017;Activités informatiques;108.9;430.7;25.3
2017;Activités juridiques, conseil, ingénierie;531.7;1157.8;45.9
2017;Activités spécialisées et soutien;1232.8;2649.5;46.5
2017;Admin. publique, enseignement, santé;5742.1;8327.7;69.0
2017;Administration publique;1284.1;2433.0;52.8
2017;Agriculture, sylviculture et pêche;205.7;697.9;29.5
2017;Alimentation, boissons, tabac;273.1;666.8;41.0
2017;Arts, spectacles, activités récréatives;218.1;451.7;48.3
2017;Autres activités de services;949.6;1454.9;65.3
2017;Autres activités spécialisées;115.3;233.3;49.4
2017;Autres industries manufacturières;91.9;321.3;28.6
2017;Bois, papier, imprimerie;59.5;207.9;28.6
2017;Caoutchouc, plastiques, minéraux;86.6;322.5;26.9
2017;Cokéfaction et raffinage;2.7;13.1;20.6
2017;Commerce, réparation automobiles;1568.8;3449.2;45.5
2017;Commerce, transports, hébergement;2449.9;5933.0;41.3
2017;Construction;194.4;1740.3;11.2
2017;Eau, assainissement, déchets;40.2;215.1;18.7
2017;Enseignement;1310.9;1932.7;67.8
2017;Ensemble;12931.7;26879.6;48.1
2017;Hébergement et restauration;502.3;1031.6;48.7
2017;Hébergement médico-social, action sociale;1711.6;2046.4;83.6
2017;Industrie (total);1079.4;3699.1;29.2
2017;Industrie chimique;61.1;183.4;33.3
2017;Industrie pharmaceutique;42.9;92.3;46.5
2017;Industries extractives;2.1;21.0;10.0
2017;Information et communication;243.0;790.8;30.7
2017;Informatique, électronique, optique;53.7;157.1;34.2
2017;Machines et équipements;45.3;208.0;21.8
2017;Matériels de transport;88.3;444.5;19.9
2017;Métallurgie, produits métalliques;68.1;433.4;15.7
2017;Non renseigné;135.3;328.0;41.2
2017;Recherche-développement;73.1;171.6;42.6
2017;Santé humaine;1435.6;1915.7;74.9
2017;Tertiaire (total);11316.9;20414.3;55.4
2017;Textile, habillement, cuir;83.7;121.2;69.1
2017;Transports et entreposage;378.8;1452.3;26.1
2017;Télécommunications;37.8;121.4;31.1
2017;Édition, audiovisuel;96.3;238.7;40.3
2017;Électricité, gaz, vapeur;46.0;172.0;26.7
2017;Équipements électriques;34.1;119.6;28.5
2018;Activités de services administratifs;529.1;1093.0;48.4
2018;Activités des ménages employeurs;297.9;327.2;91.0
2018;Activités extra-territoriales;14.1;24.9;56.6
2018;Activités financières et assurance;515.9;889.0;58.0
2018;Activités immobilières;187.0;355.2;52.6
2018;Activités informatiques;113.6;453.6;25.0
2018;Activités juridiques, conseil, ingénierie;526.9;1166.7;45.2
2018;Activités spécialisées et soutien;1273.9;2713.4;46.9
2018;Admin. publique, enseignement, santé;5759.8;8361.3;68.9
2018;Administration publique;1300.4;2463.1;52.8
2018;Agriculture, sylviculture et pêche;181.3;670.4;27.0
2018;Alimentation, boissons, tabac;276.8;674.2;41.1
2018;Arts, spectacles, activités récréatives;229.9;475.8;48.3
2018;Autres activités de services;1025.1;1559.5;65.7
2018;Autres activités spécialisées;138.0;261.0;52.9
2018;Autres industries manufacturières;87.9;323.0;27.2
2018;Bois, papier, imprimerie;52.5;194.9;26.9
2018;Caoutchouc, plastiques, minéraux;86.1;296.5;29.0
2018;Cokéfaction et raffinage;2.7;9.0;30.0
2018;Commerce, réparation automobiles;1619.1;3444.3;47.0
2018;Commerce, transports, hébergement;2484.3;5934.3;41.9
2018;Construction;207.4;1807.6;11.5
2018;Eau, assainissement, déchets;45.3;219.4;20.6
2018;Enseignement;1327.1;1938.1;68.5
2018;Ensemble;13091.3;27122.2;48.3
2018;Hébergement et restauration;510.4;1058.2;48.2
2018;Hébergement médico-social, action sociale;1690.6;2020.0;83.7
2018;Industrie (total);1046.4;3616.4;28.9
2018;Industrie chimique;60.0;184.5;32.5
2018;Industrie pharmaceutique;44.7;89.6;49.9
2018;Industries extractives;2.8;20.0;14.0
2018;Information et communication;253.7;826.9;30.7
2018;Informatique, électronique, optique;51.9;151.5;34.3
2018;Machines et équipements;32.8;211.2;15.5
2018;Matériels de transport;74.9;401.3;18.7
2018;Métallurgie, produits métalliques;70.6;415.6;17.0
2018;Non renseigné;156.5;388.2;40.3
2018;Recherche-développement;79.9;192.7;41.5
2018;Santé humaine;1441.7;1940.0;74.3
2018;Tertiaire (total);11499.7;20639.5;55.7
2018;Textile, habillement, cuir;76.2;110.6;68.9
2018;Transports et entreposage;354.8;1431.9;24.8
2018;Télécommunications;34.8;112.1;31.0
2018;Édition, audiovisuel;105.3;261.3;40.3
2018;Électricité, gaz, vapeur;55.3;203.4;27.2
2018;Équipements électriques;26.0;111.8;23.3
2019;Activités de services administratifs;508.8;1057.8;48.1
2019;Activités des ménages employeurs;476.2;696.5;68.4
2019;Activités extra-territoriales;302.8;335.2;90.3
2019;Activités financières et assurance;518.7;916.1;56.6
2019;Activités immobilières;188.9;322.0;58.7
2019;Activités informatiques;128.4;501.5;25.6
2019;Activités juridiques, conseil, ingénierie;535.8;1145.7;46.8
2019;Activités spécialisées et soutien;1284.8;2687.0;47.8
2019;Admin. publique, enseignement, santé;5832.9;8472.7;68.8
2019;Administration publique;1316.4;2474.2;53.2
2019;Agriculture, sylviculture et pêche;195.4;678.3;28.8
2019;Alimentation, boissons, tabac;296.0;679.7;43.5
2019;Arts, spectacles, activités récréatives;1020.2;1524.8;66.9
2019;Autres activités de services;225.7;468.5;48.2
2019;Autres activités spécialisées;141.7;270.8;52.3
2019;Autres industries manufacturières;81.8;336.4;24.3
2019;Bois, papier, imprimerie;48.2;186.8;25.8
2019;Caoutchouc, plastiques, minéraux;76.7;311.2;24.6
2019;Cokéfaction et raffinage;0.9;6.7;13.4
2019;Commerce, réparation automobiles;1596.9;3397.0;47.0
2019;Commerce, transports, hébergement;2448.0;5830.9;42.0
