annee;secteur;pop_femmes;pop_total;part_femmes
2017;Alimentation, boissons, tabac;273.1;666.8;41.0
2017;Autres industries manufacturières;91.9;321.3;28.6
2017;Bois, papier, imprimerie;59.5;207.9;28.6
2017;Caoutchouc, plastiques, minéraux;86.6;322.5;26.9
2017;Cokéfaction et raffinage;2.7;13.1;20.6
2017;Eau, assainissement, déchets;40.2;215.1;18.7
2017;Industrie chimique;61.1;183.4;33.3
2017;Industrie pharmaceutique;42.9;92.3;46.5
2017;Industries extractives;2.1;21.0;10.0
2017;Informatique, électronique, optique;53.7;157.1;34.2
2017;Machines et équipements;45.3;208.0;21.8
2017;Matériels de transport;88.3;444.5;19.9
2017;Métallurgie, produits métalliques;68.1;433.4;15.7
2017;Textile, habillement, cuir;83.7;121.2;69.1
2017;Électricité, gaz, vapeur;46.0;172.0;26.7
2017;Équipements électriques;34.1;119.6;28.5
2018;Alimentation, boissons, tabac;276.8;674.2;41.1
2018;Autres industries manufacturières;87.9;323.0;27.2
2018;Bois, papier, imprimerie;52.5;194.9;26.9
2018;Caoutchouc, plastiques, minéraux;86.1;296.5;29.0
2018;Cokéfaction et raffinage;2.7;9.0;30.0
2018;Eau, assainissement, déchets;45.3;219.4;20.6
2018;Industrie chimique;60.0;184.5;32.5
2018;Industrie pharmaceutique;44.7;89.6;49.9
2018;Industries extractives;2.8;20.0;14.0
2018;Informatique, électronique, optique;51.9;151.5;34.3
2018;Machines et équipements;32.8;211.2;15.5
2018;Matériels de transport;74.9;401.3;18.7
2018;Métallurgie, produits métalliques;70.6;415.6;17.0
2018;Textile, habillement, cuir;76.2;110.6;68.9
2018;Électricité, gaz, vapeur;55.3;203.4;27.2
2018;Équipements électriques;26.0;111.8;23.3
2019;Alimentation, boissons, tabac;296.0;679.7;43.5
2019;Autres industries manufacturières;81.8;336.4;24.3
2019;Bois, papier, imprimerie;48.2;186.8;25.8
2019;Caoutchouc, plastiques, minéraux;76.7;311.2;24.6
2019;Cokéfaction et raffinage;0.9;6.7;13.4
2019;Eau, assainissement, déchets;49.4;209.1;23.6
2019;Industrie chimique;57.6;163.2;35.3
2019;Industrie pharmaceutique;43.7;89.1;49.0
2019;Industries extractives;2.9;24.1;12.0
2019;Informatique, électronique, optique;50.0;154.0;32.5
2019;Machines et équipements;33.4;213.5;15.6
2019;Matériels de transport;82.9;409.4;20.2
2019;Métallurgie, produits métalliques;70.7;418.8;16.9
2019;Textile, habillement, cuir;78.5;121.1;64.8
2019;Électricité, gaz, vapeur;54.2;217.9;24.9
2019;Équipements électriques;31.0;104.6;29.6
2020;Alimentation, boissons, tabac;258.3;642.9;40.2
2020;Autres industries manufacturières;79.9;342.1;23.4
2020;Bois, papier, imprimerie;47.8;189.7;25.2
2020;Caoutchouc, plastiques, minéraux;70.6;279.4;25.3
2020;Cokéfaction et raffinage;0.5;5.3;9.4
2020;Eau, assainissement, déchets;45.6;199.5;22.9
2020;Industrie chimique;55.6;161.2;34.5
2020;Industrie pharmaceutique;42.8;91.6;46.7
2020;Industries extractives;2.5;21.4;11.7
2020;Informatique, électronique, optique;51.0;155.3;32.8
2020;Machines et équipements;36.4;192.3;18.9
2020;Matériels de transport;80.0;382.6;20.9
2020;Métallurgie, produits métalliques;57.5;408.8;14.1
2020;Textile, habillement, cuir;90.0;136.9;65.7
2020;Électricité, gaz, vapeur;48.4;198.2;24.4
2020;Équipements électriques;35.1;110.7;31.7
2021;Alimentation, boissons, tabac;248.3;633.8;39.2
2021;Autres industries manufacturières;92.0;359.3;25.6
2021;Bois, papier, imprimerie;48.3;185.2;26.1
2021;Caoutchouc, plastiques, minéraux;72.0;264.9;27.2
2021;Cokéfaction et raffinage;1.8;10.0;18.0
2021;Eau, assainissement, déchets;59.5;213.3;27.9
2021;Industrie chimique;59.0;160.7;36.7
2021;Industrie pharmaceutique;45.7;86.4;52.9
2021;Industries extractives;4.0;28.0;14.3
2021;Informatique, électronique, optique;56.5;154.0;36.7
2021;Machines et équipements;36.0;179.2;20.1
2021;Matériels de transport;72.3;358.0;20.2
2021;Métallurgie, produits métalliques;68.3;402.9;17.0
2021;Textile, habillement, cuir;93.6;141.3;66.2
2021;Électricité, gaz, vapeur;66.7;194.9;34.2
2021;Équipements électriques;35.8;110.7;32.3
2022;Alimentation, boissons, tabac;283.5;655.7;43.2
2022;Autres industries manufacturières;93.2;362.4;25.7
2022;Bois, papier, imprimerie;47.6;188.8;25.2
2022;Caoutchouc, plastiques, minéraux;73.2;274.6;26.7
2022;Cokéfaction et raffinage;0.7;6.6;10.6
