secteur;2017;2018;2019;2020;2021;2022;2023;2024
Alimentation, boissons, tabac;41.0;41.1;43.5;40.2;39.2;43.2;44.2;41.7
Autres industries manufacturières;28.6;27.2;24.3;23.4;25.6;25.7;29.0;29.6
Bois, papier, imprimerie;28.6;26.9;25.8;25.2;26.1;25.2;28.7;29.8
Caoutchouc, plastiques, minéraux;26.9;29.0;24.6;25.3;27.2;26.7;25.3;24.1
Cokéfaction et raffinage;20.6;30.0;13.4;9.4;18.0;10.6;29.0;21.7
Eau, assainissement, déchets;18.7;20.6;23.6;22.9;27.9;28.6;24.9;28.0
Industrie chimique;33.3;32.5;35.3;34.5;36.7;34.9;39.7;40.7
Industrie pharmaceutique;46.5;49.9;49.0;46.7;52.9;47.9;47.9;54.8
Industries extractives;10.0;14.0;12.0;11.7;14.3;16.4;17.5;14.4
Informatique, électronique, optique;34.2;34.3;32.5;32.8;36.7;35.7;34.5;35.1
Machines et équipements;21.8;15.5;15.6;18.9;20.1;18.0;22.2;20.9
Matériels de transport;19.9;18.7;20.2;20.9;20.2;23.3;20.9;20.3
Métallurgie, produits métalliques;15.7;17.0;16.9;14.1;17.0;19.0;17.5;17.2
Textile, habillement, cuir;69.1;68.9;64.8;65.7;66.2;64.8;61.2;63.1
Électricité, gaz, vapeur;26.7;27.2;24.9;24.4;34.2;32.7;29.9;32.4
Équipements électriques;28.5;23.3;29.6;31.7;32.3;30.4;32.8;24.1
