secteur;2017;2018;2019;2020;2021;2022;2023;2024
Activités financières et assurance;59.2;58.0;56.6;55.8;56.9;56.5;56.8;55.5
Activités informatiques;25.3;25.0;25.6;26.3;27.8;27.7;28.7;27.9
Activités spécialisées et soutien;46.5;46.9;47.8;47.7;47.4;47.8;49.1;49.4
Admin. publique, enseignement, santé;69.0;68.9;68.8;68.8;69.3;69.0;68.5;68.8
Agriculture, sylviculture et pêche;29.5;27.0;28.8;29.7;28.3;29.7;31.5;29.5
Commerce, transports, hébergement;41.3;41.9;42.0;42.2;41.8;42.2;41.8;41.9
Construction;11.2;11.5;10.5;11.1;12.7;12.8;13.1;12.8
Hébergement médico-social, action sociale;83.6;83.7;83.7;82.7;82.5;83.8;83.3;82.8
Industrie (total);29.2;28.9;29.0;28.5;30.4;31.1;31.0;30.7
Information et communication;30.7;30.7;31.2;31.1;31.4;30.4;31.6;31.3
Santé humaine;74.9;74.3;74.3;74.7;75.5;75.3;75.3;75.7
Transports et entreposage;26.1;24.8;25.7;25.8;25.8;26.6;26.4;25.1
