SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
3;zz;z;100.0;27176.0
2;zz;z;48.5;13184.2
1;zz;z;51.5;13991.8
3;zz;6;19.6;5337.3
2;zz;6;3.9;1065.9
1;zz;6;15.7;4271.4
3;zz;5;26.8;7291.5
2;zz;5;20.2;5492.1
1;zz;5;6.6;1799.4
3;zz;4;25.6;6957.3
2;zz;4;13.7;3727.0
1;zz;4;11.9;3230.3
3;zz;3;19.3;5240.6
2;zz;3;8.1;2213.8
1;zz;3;11.1;3026.9
3;zz;2;6.7;1825.0
2;zz;2;1.9;520.4
1;zz;2;4.8;1304.6
3;zz;1;1.5;403.6
2;zz;1;0.4;107.2
1;zz;1;1.1;296.4
3;XX;z;100.0;400.9
2;XX;z;43.3;173.7
1;XX;z;56.7;227.1
3;XX;6;22.3;89.5
2;XX;6;2.4;9.6
1;XX;6;19.9;79.9
3;XX;5;20.6;82.7
2;XX;5;14.7;58.9
1;XX;5;5.9;23.8
3;XX;4;14.6;58.4
2;XX;4;6.8;27.1
1;XX;4;7.8;31.3
3;XX;3;13.6;54.4
2;XX;3;5.7;23.0
1;XX;3;7.8;31.5
3;XX;2;2.7;10.7
2;XX;2;1.1;4.3
1;XX;2;1.6;6.4
3;XX;1;0.5;1.9
2;XX;1;0.2;0.6
1;XX;1;0.3;1.3
3;UZ;z;100.0;24.6
2;UZ;z;63.2;15.5
1;UZ;z;36.8;9.1
3;UZ;6;11.7;2.9
2;UZ;6;0.9;0.2
1;UZ;6;10.8;2.7
3;UZ;5;12.5;3.1
2;UZ;5;9.6;2.4
1;UZ;5;2.9;0.7
3;UZ;4;40.2;9.9
2;UZ;4;35.9;8.8
1;UZ;4;4.2;1.0
3;UZ;3;35.7;8.8
2;UZ;3;16.8;4.1
1;UZ;3;18.9;4.6
3;TZ;z;100.0;335.2
2;TZ;z;90.3;302.8
1;TZ;z;9.7;32.4
3;TZ;6;4.8;16.2
2;TZ;6;0.5;1.7
1;TZ;6;4.3;14.5
3;TZ;5;93.5;313.5
2;TZ;5;88.6;297.0
1;TZ;5;4.9;16.5
3;TZ;4;1.3;4.3
2;TZ;4;1.0;3.5
1;TZ;4;0.3;0.9
3;TZ;3;0.1;0.4
1;TZ;3;0.1;0.4
3;TZ;2;0.1;0.4
2;TZ;2;0.1;0.2
1;TZ;2;0.0;0.1
3;SZ;z;100.0;696.5
2;SZ;z;68.4;476.2
1;SZ;z;31.6;220.2
3;SZ;6;9.7;67.5
2;SZ;6;3.9;27.2
1;SZ;6;5.8;40.3
3;SZ;5;34.2;238.5
2;SZ;5;28.7;199.8
1;SZ;5;5.6;38.7
3;SZ;4;20.2;140.5
2;SZ;4;11.4;79.3
1;SZ;4;8.8;61.3
3;SZ;3;13.1;91.5
2;SZ;3;7.6;53.0
1;SZ;3;5.5;38.4
3;SZ;2;22.6;157.3
2;SZ;2;16.7;116.4
1;SZ;2;5.9;40.9
3;SZ;1;0.1;0.4
1;SZ;1;0.1;0.4
3;RZ;z;100.0;468.5
2;RZ;z;48.2;225.7
1;RZ;z;51.8;242.8
3;RZ;6;5.9;27.8
2;RZ;6;1.5;7.1
1;RZ;6;4.4;20.6
3;RZ;5;17.8;83.6
2;RZ;5;11.4;53.2
1;RZ;5;6.5;30.4
3;RZ;4;39.7;186.1
2;RZ;4;18.8;88.1
1;RZ;4;20.9;97.9
3;RZ;3;31.5;147.7
2;RZ;3;14.8;69.4
1;RZ;3;16.7;78.3
3;RZ;2;4.8;22.4
2;RZ;2;1.5;7.1
1;RZ;2;3.3;15.3
3;RZ;1;0.1;0.4
2;RZ;1;0.1;0.4
3;QB;z;100.0;1937.3
2;QB;z;83.7;1622.2
1;QB;z;16.3;315.1
3;QB;6;6.6;128.4
2;QB;6;2.2;41.9
1;QB;6;4.5;86.5
3;QB;5;65.9;1276.6
2;QB;5;60.8;1178.8
1;QB;5;5.0;97.8
3;QB;4;23.2;449.8
2;QB;4;17.7;343.1
1;QB;4;5.5;106.7
3;QB;3;3.9;75.0
2;QB;3;2.9;55.9
1;QB;3;1.0;19.1
3;QB;2;0.3;6.0
2;QB;2;0.1;1.1
