SEXE;NAFG038UN;PCS1;POPEMPL;POURCENT
ENSEMBLE;zz;z;27727,6;100
ENSEMBLE;XX;z;633,7;100
ENSEMBLE;UZ;z;16,8;100
ENSEMBLE;TZ;z;270,6;100
ENSEMBLE;SZ;z;782,3;100
ENSEMBLE;RZ;z;543,9;100
ENSEMBLE;RU;z;1613,5;100
ENSEMBLE;QB;z;1970,9;100
ENSEMBLE;QA;z;1912,8;100
ENSEMBLE;PZ;z;2166,1;100
ENSEMBLE;OZ;z;2298,5;100
ENSEMBLE;OQ;z;8348,4;100
ENSEMBLE;NZ;z;1127,6;100
ENSEMBLE;MN;z;2906,1;100
ENSEMBLE;MC;z;290,7;100
ENSEMBLE;MB;z;200,4;100
ENSEMBLE;MA;z;1287,4;100
ENSEMBLE;LZ;z;350,1;100
ENSEMBLE;KZ;z;1007,2;100
ENSEMBLE;JZ;z;989,9;100
ENSEMBLE;JC;z;572,6;100
ENSEMBLE;JB;z;135,5;100
ENSEMBLE;JA;z;281,7;100
ENSEMBLE;IZ;z;1054,6;100
ENSEMBLE;HZ;z;1420,6;100
ENSEMBLE;GZ;z;3465,9;100
ENSEMBLE;GI;z;5941,2;100
ENSEMBLE;FZ;z;1779;100
ENSEMBLE;EZ;z;213,3;100
ENSEMBLE;EV;z;21156,3;100
ENSEMBLE;ET;z;3482,6;100
ENSEMBLE;DZ;z;194,9;100
ENSEMBLE;CM;z;359,3;100
ENSEMBLE;CL;z;358;100
ENSEMBLE;CK;z;179,2;100
ENSEMBLE;CJ;z;110,7;100
ENSEMBLE;CI;z;154;100
ENSEMBLE;CH;z;402,9;100
ENSEMBLE;CG;z;264,9;100
ENSEMBLE;CF;z;86,4;100
ENSEMBLE;CE;z;160,7;100
ENSEMBLE;CD;z;10;100
ENSEMBLE;CC;z;185,2;100
ENSEMBLE;CB;z;141,3;100
ENSEMBLE;CA;z;633,8;100
ENSEMBLE;BZ;z;28;100
ENSEMBLE;AZ;z;675,9;100
ENSEMBLE;zz;X;137,9;0,5
ENSEMBLE;XX;X;64,1;10,1
ENSEMBLE;UZ;X;o;o
ENSEMBLE;TZ;X;0,6;0,2
ENSEMBLE;SZ;X;1,8;0,2
ENSEMBLE;RZ;X;1,7;0,3
ENSEMBLE;RU;X;4,1;0,3
ENSEMBLE;QB;X;5,2;0,3
ENSEMBLE;QA;X;2,1;0,1
ENSEMBLE;PZ;X;8,5;0,4
ENSEMBLE;OZ;X;30,3;1,3
ENSEMBLE;OQ;X;46,2;0,6
ENSEMBLE;NZ;X;0,9;0,1
ENSEMBLE;MN;X;2,4;0,1
ENSEMBLE;MC;X;0,1;0
ENSEMBLE;MB;X;0,2;0,1
ENSEMBLE;MA;X;1,1;0,1
ENSEMBLE;LZ;X;0,8;0,2
ENSEMBLE;KZ;X;1,7;0,2
ENSEMBLE;JZ;X;2,7;0,3
ENSEMBLE;JC;X;1,6;0,3
ENSEMBLE;JB;X;0,1;0,1
ENSEMBLE;JA;X;1;0,4
ENSEMBLE;IZ;X;0,5;0
ENSEMBLE;HZ;X;1,3;0,1
ENSEMBLE;GZ;X;3,6;0,1
ENSEMBLE;GI;X;5,4;0,1
ENSEMBLE;FZ;X;2,1;0,1
ENSEMBLE;EZ;X;o;o
ENSEMBLE;EV;X;63,3;0,3
ENSEMBLE;ET;X;6,7;0,2
ENSEMBLE;DZ;X;1,1;0,6
ENSEMBLE;CM;X;1,3;0,4
ENSEMBLE;CL;X;0,9;0,2
ENSEMBLE;CK;X;0,1;0,1
ENSEMBLE;CJ;X;o;o
ENSEMBLE;CI;X;o;o
ENSEMBLE;CH;X;0,7;0,2
ENSEMBLE;CG;X;0,3;0,1
ENSEMBLE;CF;X;o;o
ENSEMBLE;CE;X;0,2;0,1
ENSEMBLE;CD;X;o;o
ENSEMBLE;CC;X;o;o
ENSEMBLE;CB;X;o;o
ENSEMBLE;CA;X;2,1;0,3
ENSEMBLE;BZ;X;o;o
ENSEMBLE;AZ;X;1,8;0,3
ENSEMBLE;zz;6;5283;19,1
ENSEMBLE;XX;6;151,8;24
ENSEMBLE;UZ;6;0,3;1,8
ENSEMBLE;TZ;6;16,8;6,2
ENSEMBLE;SZ;6;71;9,1
ENSEMBLE;RZ;6;38,1;7
ENSEMBLE;RU;6;126,3;7,8
ENSEMBLE;QB;6;165,4;8,4
ENSEMBLE;QA;6;36,9;1,9
ENSEMBLE;PZ;6;49,3;2,3
ENSEMBLE;OZ;6;205,3;8,9
ENSEMBLE;OQ;6;456,9;5,5
ENSEMBLE;NZ;6;394,4;35
ENSEMBLE;MN;6;470,8;16,2
ENSEMBLE;MC;6;27,9;9,6
ENSEMBLE;MB;6;6,3;3,1
ENSEMBLE;MA;6;42,2;3,3
ENSEMBLE;LZ;6;21,1;6
ENSEMBLE;KZ;6;21,5;2,1
ENSEMBLE;JZ;6;20,2;2
ENSEMBLE;JC;6;9,8;1,7
ENSEMBLE;JB;6;2,5;1,9
ENSEMBLE;JA;6;7,9;2,8
ENSEMBLE;IZ;6;187,6;17,8
ENSEMBLE;HZ;6;688,4;48,5
ENSEMBLE;GZ;6;607,5;17,5
ENSEMBLE;GI;6;1483,6;25
ENSEMBLE;FZ;6;825,4;46,4
ENSEMBLE;EZ;6;84,6;39,6
ENSEMBLE;EV;6;2600,4;12,3
ENSEMBLE;ET;6;1502,5;43,1
ENSEMBLE;DZ;6;13,5;6,9
ENSEMBLE;CM;6;126;35,1
ENSEMBLE;CL;6;143,8;40,2
ENSEMBLE;CK;6;76,7;42,8
ENSEMBLE;CJ;6;53,4;48,2
ENSEMBLE;CI;6;52,4;34,1
ENSEMBLE;CH;6;224;55,6
ENSEMBLE;CG;6;130,6;49,3
ENSEMBLE;CF;6;18,2;21,1
ENSEMBLE;CE;6;52,3;32,5
ENSEMBLE;CD;6;4,1;41,4
