secteur;% femmes 2017;% femmes 2024;Variation (pts);Tendance
Activités spécialisées et soutien;46.5;49.4;2.9;📈 Hausse
Activités informatiques;25.3;27.9;2.6;📈 Hausse
Construction;11.2;12.8;1.6;📈 Hausse
Industrie (total);29.2;30.7;1.5;📈 Hausse
Santé humaine;74.9;75.7;0.8;➡ Stable
Commerce, transports, hébergement;41.3;41.9;0.6;➡ Stable
Information et communication;30.7;31.3;0.6;➡ Stable
Agriculture, sylviculture et pêche;29.5;29.5;0.0;➡ Stable
Admin. publique, enseignement, santé;69.0;68.8;-0.2;➡ Stable
Hébergement médico-social, action sociale;83.6;82.8;-0.8;➡ Stable
Transports et entreposage;26.1;25.1;-1.0;➡ Stable
Activités financières et assurance;59.2;55.5;-3.7;📉 Baisse
